title,description,content,full_text,clean_text
Howard Lutnick says ‘deal’ has been reached on auto tariffs - CNN,"Commerce Secretary Howard Lutnick appeared to confirm reporting on​ Monday that a deal has been reached with automakers to​ ease tariffs, in another potential policy reversal that could grant a major reprieve for a beleaguered industry.","US Commerce Secretary Howard Lutnick appeared to confirm reporting on Monday that a deal has been reached with automakers to ease tariffs, in another potential policy reversal that could grant a majo… [+4332 chars]","Howard Lutnick says ‘deal’ has been reached on auto tariffs - CNN Commerce Secretary Howard Lutnick appeared to confirm reporting on​ Monday that a deal has been reached with automakers to​ ease tariffs, in another potential policy reversal that could grant a major reprieve for a beleaguered industry. US Commerce Secretary Howard Lutnick appeared to confirm reporting on Monday that a deal has been reached with automakers to ease tariffs, in another potential policy reversal that could grant a majo… [+4332 chars]",howard lutnick says ‘deal’ reached auto tariffs cnn commerce secretary howard lutnick appeared confirm reporting on​ monday deal reached automakers to​ ease tariffs another potential policy reversal could grant major reprieve beleaguered industry us commerce secretary howard lutnick appeared confirm reporting monday deal reached automakers ease tariffs another potential policy reversal could grant majo… 4332 chars
HSBC announces share buyback of up to $3 billion as first-quarter results top expectations - CNBC,"The bank's profit before tax declined 25% on a year-on-year basis. Revenue fell 15% from last year. Profit, however, soared nearly 317% from the previous quarter.",Europe's largest lender HSBC's first-quarter results on Tuesday beat estimates on the back of robust performance of its wealth business as well as strength in its corporate and institutional banking … [+2367 chars],"HSBC announces share buyback of up to $3 billion as first-quarter results top expectations - CNBC The bank's profit before tax declined 25% on a year-on-year basis. Revenue fell 15% from last year. Profit, however, soared nearly 317% from the previous quarter. Europe's largest lender HSBC's first-quarter results on Tuesday beat estimates on the back of robust performance of its wealth business as well as strength in its corporate and institutional banking … [+2367 chars]",hsbc announces share buyback 3 billion firstquarter results top expectations cnbc banks profit tax declined 25 yearonyear basis revenue fell 15 last year profit however soared nearly 317 previous quarter europes largest lender hsbcs firstquarter results tuesday beat estimates back robust performance wealth business well strength corporate institutional banking … 2367 chars
Carney's Liberal party wins Canadian election and completes a stunning turnaround fueled by Trump - AP News,"Prime Minister Mark Carney’s Liberal Party has won Canada’s federal election, capping a stunning turnaround in fortunes fueled by U.S. President Donald Trump’s threats to Canada’s economy and sovereignty. The Liberals are projected to win more of Parliament’s…","TORONTO (AP) Prime Minister Mark Carneys Liberal Party won Canadas federal election on Monday, capping a stunning turnaround in fortunes fueled by U.S. President Donald Trumps annexation threats and … [+5622 chars]","Carney's Liberal party wins Canadian election and completes a stunning turnaround fueled by Trump - AP News Prime Minister Mark Carney’s Liberal Party has won Canada’s federal election, capping a stunning turnaround in fortunes fueled by U.S. President Donald Trump’s threats to Canada’s economy and sovereignty. The Liberals are projected to win more of Parliament’s… TORONTO (AP) Prime Minister Mark Carneys Liberal Party won Canadas federal election on Monday, capping a stunning turnaround in fortunes fueled by U.S. President Donald Trumps annexation threats and … [+5622 chars]",carneys liberal party wins canadian election completes stunning turnaround fueled trump ap news prime minister mark carney’s liberal party canada’s federal election capping stunning turnaround fortunes fueled us president donald trump’s threats canada’s economy sovereignty liberals projected win parliament’s… toronto ap prime minister mark carneys liberal party canadas federal election monday capping stunning turnaround fortunes fueled us president donald trumps annexation threats … 5622 chars
Beyoncé Set List: Every Song Played on ‘Cowboy Carter’ Tour Opener in Los Angeles (UPDATING LIVE) - Variety,Beyoncé kicked off her 'Cowboy Carter' tour at Los Angeles' SoFi Stadium on Apr. 28.,"Beyoncé kicked off her highly anticipated “Cowboy Carter” tour at Los Angeles’ SoFi Stadium tonight, giving the first look at her 32-date trek spanning nine global cities.
The show is the first tast… [+1848 chars]","Beyoncé Set List: Every Song Played on ‘Cowboy Carter’ Tour Opener in Los Angeles (UPDATING LIVE) - Variety Beyoncé kicked off her 'Cowboy Carter' tour at Los Angeles' SoFi Stadium on Apr. 28. Beyoncé kicked off her highly anticipated “Cowboy Carter” tour at Los Angeles’ SoFi Stadium tonight, giving the first look at her 32-date trek spanning nine global cities.
The show is the first tast… [+1848 chars]",beyoncé set list every song played ‘cowboy carter’ tour opener los angeles updating live variety beyoncé kicked cowboy carter tour los angeles sofi stadium apr 28 beyoncé kicked highly anticipated “cowboy carter” tour los angeles’ sofi stadium tonight giving first look 32date trek spanning nine global cities show first tast… 1848 chars
Asia stocks: automakers climb on Trump tariff relief; China lags on stimulus delay - Investing.com,Asia stocks: automakers climb on Trump tariff relief; China lags on stimulus delay,"Investing.com-- Most Asian stock markets advanced on Tuesday, led by gains in automakers after the U.S. moved to soften the impact of auto tariffs, while mainland Chinese stocks ticked down as Beijin… [+2487 chars]","Asia stocks: automakers climb on Trump tariff relief; China lags on stimulus delay - Investing.com Asia stocks: automakers climb on Trump tariff relief; China lags on stimulus delay Investing.com-- Most Asian stock markets advanced on Tuesday, led by gains in automakers after the U.S. moved to soften the impact of auto tariffs, while mainland Chinese stocks ticked down as Beijin… [+2487 chars]",asia stocks automakers climb trump tariff relief china lags stimulus delay investingcom asia stocks automakers climb trump tariff relief china lags stimulus delay investingcom asian stock markets advanced tuesday led gains automakers us moved soften impact auto tariffs mainland chinese stocks ticked beijin… 2487 chars
UNC growing ‘concerned’ over Jordon Hudson’s influence on Bill Belichick - New York Post,People at the University of North Carolina are becoming “concerned” about Jordon Hudson’s influence on head football coach Bill Belichick.,"People at the University of North Carolina are becoming concerned about Jordon Hudsons influence on head football coach Bill Belichick. 
The latest revelation was reported on Monday night by TMZ, a … [+2850 chars]","UNC growing ‘concerned’ over Jordon Hudson’s influence on Bill Belichick - New York Post People at the University of North Carolina are becoming “concerned” about Jordon Hudson’s influence on head football coach Bill Belichick. People at the University of North Carolina are becoming concerned about Jordon Hudsons influence on head football coach Bill Belichick. 
The latest revelation was reported on Monday night by TMZ, a … [+2850 chars]",unc growing ‘concerned’ jordon hudson’s influence bill belichick new york post people university north carolina becoming “concerned” jordon hudson’s influence head football coach bill belichick people university north carolina becoming concerned jordon hudsons influence head football coach bill belichick latest revelation reported monday night tmz … 2850 chars
Twin Cities tornado watch ends early on Monday night - Star Tribune,"A tornado watch covering the Twin Cities area was meant to last until 11 p.m., but it was canceled before 7 p.m.","It was a busy day at the National Weather Service offices in Chanhassen, where meteorologist Nick Carletta had his eyes on six screens, watching for storms that threatened to bring violent weather to… [+1910 chars]","Twin Cities tornado watch ends early on Monday night - Star Tribune A tornado watch covering the Twin Cities area was meant to last until 11 p.m., but it was canceled before 7 p.m. It was a busy day at the National Weather Service offices in Chanhassen, where meteorologist Nick Carletta had his eyes on six screens, watching for storms that threatened to bring violent weather to… [+1910 chars]",twin cities tornado watch ends early monday night star tribune tornado watch covering twin cities area meant last 11 pm canceled 7 pm busy day national weather service offices chanhassen meteorologist nick carletta eyes six screens watching storms threatened bring violent weather to… 1910 chars
Congress approves a revenge porn bill backed by First Lady Melania Trump - NPR,"Melania Trump has voiced support for the bill, which is in line with her ""BE BEST"" initiative. It is dedicated to child welfare and was started during President Trump's first term.","A bill supported by Melania Trump that aims to implement strict penalties and guidelines for those who publish and promote revenge porn is on its way to President Trump's desk. 
More than 400 House … [+2211 chars]","Congress approves a revenge porn bill backed by First Lady Melania Trump - NPR Melania Trump has voiced support for the bill, which is in line with her ""BE BEST"" initiative. It is dedicated to child welfare and was started during President Trump's first term. A bill supported by Melania Trump that aims to implement strict penalties and guidelines for those who publish and promote revenge porn is on its way to President Trump's desk. 
More than 400 House … [+2211 chars]",congress approves revenge porn bill backed first lady melania trump npr melania trump voiced support bill line best initiative dedicated child welfare started president trumps first term bill supported melania trump aims implement strict penalties guidelines publish promote revenge porn way president trumps desk 400 house … 2211 chars
"Heat Culture is finally starting to show cracks, so what's next for Miami after getting swept by the Cavs? - CBS Sports","After the Jimmy Butler trade saga and an ugly first-round playoff exit, is the NBA outgrowing Heat Culture?","The San Antonio Spurs were the picture of NBA stability for the better part of 20 years. Then Tim Duncan retired. Within two years, LaMarcus Aldridge had attempted to force a trade and Kawhi Leonard … [+10650 chars]","Heat Culture is finally starting to show cracks, so what's next for Miami after getting swept by the Cavs? - CBS Sports After the Jimmy Butler trade saga and an ugly first-round playoff exit, is the NBA outgrowing Heat Culture? The San Antonio Spurs were the picture of NBA stability for the better part of 20 years. Then Tim Duncan retired. Within two years, LaMarcus Aldridge had attempted to force a trade and Kawhi Leonard … [+10650 chars]",heat culture finally starting show cracks whats next miami getting swept cavs cbs sports jimmy butler trade saga ugly firstround playoff exit nba outgrowing heat culture san antonio spurs picture nba stability better part 20 years tim duncan retired within two years lamarcus aldridge attempted force trade kawhi leonard … 10650 chars
Civil rights lawyers leave en masse as Justice Dept. mission shifts - The Washington Post,"Civil rights division director Harmeet K. Dhillon has redirected her staff to focus on combating antisemitism, anti-Christian bias and what she calls “woke ideology.”","The new head of the Justice Departments civil rights division is dramatically reshaping the office to propel President Donald Trumps social agenda, prompting the departure of about half of the divisi… [+7623 chars]","Civil rights lawyers leave en masse as Justice Dept. mission shifts - The Washington Post Civil rights division director Harmeet K. Dhillon has redirected her staff to focus on combating antisemitism, anti-Christian bias and what she calls “woke ideology.” The new head of the Justice Departments civil rights division is dramatically reshaping the office to propel President Donald Trumps social agenda, prompting the departure of about half of the divisi… [+7623 chars]",civil rights lawyers leave en masse justice dept mission shifts washington post civil rights division director harmeet k dhillon redirected staff focus combating antisemitism antichristian bias calls “woke ideology” new head justice departments civil rights division dramatically reshaping office propel president donald trumps social agenda prompting departure half divisi… 7623 chars
