source,author,title,description,url,urlToImage,publishedAt,content
"{'id': 'the-jerusalem-post', 'name': 'The Jerusalem Post'}",BY GRACE GILSON/JTA,Ohio Applebee’s defaced with antisemitic graffiti reading ‘Jews work here’,"“Guest and team member safety will always be our top priority and there is no place for antisemitic – or any form of – hate speech in our neighborhoods,"" said the interim president of Applebee’s.",https://www.jpost.com/diaspora/antisemitism/article-851894,"https://images.jpost.com/image/upload/f_auto,fl_lossy/c_fill,g_faces:center,h_407,w_690/660967",2025-04-28T23:59:54Z,"An Applebee’s in Miamisburg, Ohio, was closed Saturday after employees discovered the building had been defaced with antisemitic graffiti, including a swastika and the messages “F— Jews” and “Jews wo… [+3069 chars]"
"{'id': None, 'name': 'SiliconANGLE News'}",Mike Wheatley,NXP’s stock slumps as CEO Kurt Sievers reveals he’ll retire later this year,Shares of the computer chipmaker NXP Semiconductors N.V. fell more than 7% in extended trading today after it reported lower profitability on declining revenue and revealed its longtime Chief Executive Officer Kurt Sievers will step down at the end of the yea…,https://siliconangle.com/2025/04/28/nxps-stock-slumps-ceo-kurt-sievers-reveals-hell-retire-later-year/,https://d15shllkswkct0.cloudfront.net/wp-content/blogs.dir/1/files/2025/04/maxresdefault-1.jpg,2025-04-28T23:59:47Z,Shares of the computer chipmaker NXP Semiconductors N.V. fell more than 7% in extended trading today after it reported lower profitability on declining revenue and revealed its longtime Chief Executi… [+4773 chars]
"{'id': None, 'name': 'Alaskasnewssource.com'}",Alex Bengel,"Fairbanks man missing for months has been found dead, family says","Devin Standifer, who was last seen in Fairbanks on Dec. 7, 2024, has been found dead, according to his family.",https://www.alaskasnewssource.com/2025/04/28/fairbanks-man-missing-months-has-been-found-dead-family-says/,https://gray-ktuu-prod.gtv-cdn.com/resizer/v2/SOLY74K47RFO7BOCSTLBOKVXVQ.bmp?auth=e705b9eb606809f3bf57e8ebedaab2ddc584b615499e615f5af87417d66202e0&width=1200&height=600&smart=true,2025-04-28T23:58:37Z,"FAIRBANKS, Alaska (KTUU/KTVF) - Devin Standifer, who was last seen in Fairbanks on Dec. 7, 2024, has been found dead, according to his family.
On Sunday morning, a Facebook post claiming to be made … [+1203 chars]"
"{'id': None, 'name': 'Thepinknews.com'}",PinkNews Reporter,Alice Oseman delivers update on the new Heartstopper film: ‘It’s a big change from what we know’,"Author Alice Oseman has delivered an update on the upcoming Heartstopper film which will be released in place of a season four, noting that “it’s a big change from what we know”. The production company behind the hit queer series, See-Saw Films, confirmed tha…",https://www.thepinknews.com/2025/04/29/heartstopper-season-four-film/,https://www.thepinknews.com/wp-content/uploads/2025/04/heartstopper-season-4-netflix.webp,2025-04-28T23:58:36Z,"Author Alice Oseman has delivered an update on the upcoming Heartstopper film which will be released in place of a season four, noting that its a big change from what we know.
The production company… [+3033 chars]"
"{'id': 'breitbart-news', 'name': 'Breitbart News'}","Breitbart TV, Breitbart TV",‘Everyone Knew Biden Was in Mental Decline’: Marlow Calls Bullsh*t on Latest Fake Media Narrative,"On Monday's ""Alex Marlow Show,"" host and Breitbart Editor-in-Chief Alex Marlow talked about media revisionism on President Joe Biden's decline.
The post ‘Everyone Knew Biden Was in Mental Decline’: Marlow Calls Bullsh*t on Latest Fake Media Narrative appeared…",https://www.breitbart.com/clips/2025/04/28/everyone-knew-biden-was-in-mental-decline-marlow-calls-bullsht-on-latest-fake-media-narrative/,https://media.breitbart.com/media/2025/04/joe-biden-cnn-debate-getty-640x335.png,2025-04-28T23:58:22Z,"On Monday’s “Alex Marlow Show,” host and Breitbart Editor-in-Chief Alex Marlow talked about media revisionism on President Joe Biden’s decline.
After playing a clip of Axios’ Alex Thompson saying th… [+537 chars]"
"{'id': 'breitbart-news', 'name': 'Breitbart News'}","Breitbart TV, Breitbart TV",Trump Admin Places Illegal Alien Lawn Signs Right at White House Media Row,"On Monday's ""Alex Marlow Show,"" host and Breitbart Editor-in-Chief Alex Marlow discussed White House messaging in immigration.
The post Trump Admin Places Illegal Alien Lawn Signs Right at White House Media Row appeared first on Breitbart.",https://www.breitbart.com/clips/2025/04/28/trump-admin-places-illegal-alien-lawn-signs-right-at-white-house-media-row/,https://media.breitbart.com/media/2025/04/wh-imm-posters-getty-640x335.png,2025-04-28T23:58:20Z,"On Monday’s “Alex Marlow Show,” host and Breitbart Editor-in-Chief Alex Marlow discussed White House messaging in immigration.
Marlow stated, “[T]hey’re starting to put photos of the arrested illega… [+624 chars]"
"{'id': 'cnn', 'name': 'CNN'}",Taylor Romine,"Chatham, Illinois, crash at after-school program leaves four dead","Four people are dead, including children, and several others are injured after a car crashed through an after-school camp in Chatham, Illinois, authorities said.",https://www.cnn.com/2025/04/28/us/chatham-illinois-crash/index.html,"https://media.cnn.com/api/v1/images/stellar/prod/processed-8a61aaf5-35fc-4b8.JPG?c=16x9&q=w_800,c_fill",2025-04-28T23:57:53Z,"Four people are dead, including children, and several others are injured after a car crashed through an after-school camp in Chatham, Illinois, authorities said.
At about 3:20 p.m. Monday, police re… [+1885 chars]"
"{'id': 'abc-news', 'name': 'ABC News'}",T. Michelle Murphy,4 minors dead after vehicle rams into after-school camp in Illinois,"Four minors are dead after a vehicle crashed into a building hosting an after-school camp in Chatham, Illinois, officials told ABC News on Monday.",https://abcnews.go.com/US/4-dead-after-vehicle-rams-after-school-camp/story?id=121258578,https://i.abcnewsfe.com/a/3e7de3f4-1258-4244-adeb-1fdf46100c43/AdobeStock_391930680_1741552149866_hpMain_16x9.jpg?w=1600,2025-04-28T23:54:08Z,"Four minors are dead after a vehicle crashed into a building hosting an after-school camp in Chatham, Illinois, officials told ABC News. They ranged in age from 4 to 18 years old, according to a stat… [+751 chars]"
"{'id': None, 'name': 'WLKY Louisville'}",Joyce Ogirri,Kentucky man who won $167.3M Powerball ticket splitting it with his mother,Kentucky man who won $167.3M Powerball ticket splitting it with his motherwlky.com,https://www.wlky.com/article/kentucky-man-wins-167-million-powerball-splitting-mother/64612638,"https://kubrick.htvapps.com/vidthumb/57f2b657-eac7-448e-a9ec-00d0348c3657/7b8806c4-bcf4-4a47-870b-07cadbaf8c6a.jpg?crop=0.793xw:0.795xh;0.130xw,0&resize=1200:*",2025-04-28T23:53:33Z,"GEORGETOWN, Ky. —In Georgetown, just east of Louisville, history was made as a $167.3 million Powerball ticket was sold at Clark's Pump N' Shop. 
James Farthing, who buys lottery tickets regularly, … [+1399 chars]"
"{'id': None, 'name': 'Slashdot.org'}",feedfeeder,Canada Election 2025 Live Results: Carney vs. Poilievre - The New York Times,Canada Election 2025 Live Results: Carney vs. PoilievreThe New York Times Canada election 2025 live: first polls have closed as Trump told to ‘stay out of our election’The Guardian Canada election: 1st polls closed in Newfoundland and Labrador in nation’s 45t…,https://slashdot.org/firehose.pl?op=view&amp;id=177201033,,2025-04-28T23:53:15Z,"""If there isn't a population problem, why is the government putting cancer in 
the cigarettes?""
-- the elder Steptoe, c. 1970"
"{'id': None, 'name': 'Slashdot.org'}",feedfeeder,What Exactly Happened With the Most Convoluted Story in American Sports? Not What Trump Seems to Think. - Slate,"What Exactly Happened With the Most Convoluted Story in American Sports? Not What Trump Seems to Think.Slate The Browns and Shedeur Sanders: Why did he slide and what's next for him, Cleveland and Deshaun Watson?ESPN The NFL Draft’s Big Snub Gets Football’s W…",https://slashdot.org/firehose.pl?op=view&amp;id=177201031,,2025-04-28T23:53:04Z,"""If there isn't a population problem, why is the government putting cancer in 
the cigarettes?""
-- the elder Steptoe, c. 1970"
"{'id': 'financial-post', 'name': 'Financial Post'}",GlobeNewswire,OROCO FILES SHELF PROSPECTUS,"Vancouver, Canada, April 28, 2025 (GLOBE NEWSWIRE) — Oroco Resource Corp. (TSX-V: OCO, OTC: ORRCF) (“Oroco” or the “Company”).  is pleased to announce that it has filed and obtained a receipt for a final short form base shelf prospectus (the “Prospectus“) wit…",https://financialpost.com/globe-newswire/oroco-files-shelf-prospectus,,2025-04-28T23:52:58Z,"Vancouver, Canada, April 28, 2025 (GLOBE NEWSWIRE) Oroco Resource Corp. (TSX-V: OCO, OTC: ORRCF) (Oroco or the Company).  is pleased to announce that it has filed and obtained a receipt for a final s… [+5356 chars]"
