title,description,content,publishedAt,url,urlToImage
"US and Moscow moving in 'right direction' for Ukraine peace, Russia's top diplomat says","Russian foreign minister Sergei Lavrov has said the US and Russia are moving in the ""right direction"" to end the war in Ukraine.","Russian foreign minister Sergei Lavrov has said the US and Russia are moving in the ""right direction"" to end the war in Ukraine.
""We are ready to reach a deal, but there are still some specific poin… [+2713 chars]",2025-04-24T23:57:00Z,https://news.sky.com/story/russian-foreign-minister-sergei-lavrov-says-us-and-moscow-moving-in-right-direction-for-ukraine-peace-13355165,https://e3.365dm.com/25/04/1600x900/skynews-russian-airstrike-kyiv-ukraine_6895731.jpg?20250424181308
Scattered Spider Hacking Suspect Extradited to US From Spain,,"{ window.open(this.href, '_blank'); }, 200); return false;""&gt;Why is Intel cutting jobs and slashing expenses? { window.open(this.href, '_blank'); }, 200); return false;""&gt;How are Trump tariffs im… [+975 chars]",2025-04-24T23:55:56Z,https://biztoc.com/x/d7c3aea720cba12c,https://biztoc.com/cdn/d7c3aea720cba12c_s.webp
Oil Set for Weekly Loss With Focus on US-China Trade Uncertainty,,"{ window.open(this.href, '_blank'); }, 200); return false;""&gt;Why is Intel cutting jobs and slashing expenses? { window.open(this.href, '_blank'); }, 200); return false;""&gt;How are Trump tariffs im… [+963 chars]",2025-04-24T23:55:54Z,https://biztoc.com/x/da096b8cc4dc6de6,https://biztoc.com/cdn/da096b8cc4dc6de6_s.webp
Russia Deepens Its Taliban Ties With Eye on Shared Adversary ISIS,,"{ window.open(this.href, '_blank'); }, 200); return false;""&gt;Why is Intel cutting jobs and slashing expenses? { window.open(this.href, '_blank'); }, 200); return false;""&gt;How are Trump tariffs im… [+980 chars]",2025-04-24T23:55:46Z,https://biztoc.com/x/86f92ed44433e5eb,https://biztoc.com/cdn/86f92ed44433e5eb_s.webp
FCC Seeks DEI Concessions From Paramount to Complete Skydance Merger | Report,"Trump appointee Brendan Carr has made eliminating DEI programs a prerequisite for any M&A approval
The post FCC Seeks DEI Concessions From Paramount to Complete Skydance Merger | Report appeared first on TheWrap.","The Federal Communications Commission has reached out to Paramount Global about steps the company will need to take for its merger with Skydance Media to be approved. 
According to the Wall Street J… [+2032 chars]",2025-04-24T23:55:10Z,https://www.thewrap.com/fcc-seeks-dei-concessions-from-paramount-to-complete-skydance-merger-report/,https://www.thewrap.com/wp-content/uploads/2023/12/skydance-national-amusements-paramount-ellison-redstone.jpg
'The Democratic Party in Florida is dead': Top Florida Senate Dem leaves party (Politico),"Politico:
‘The Democratic Party in Florida is dead’: Top Florida Senate Dem leaves party  —  Pizzo's announcement is just the latest blow for Florida's beleaguered Democratic Party.  —  TALLAHASSEE, Florida — State Senate Minority Leader Jason Pizzo said Thur…","memeorandum is an auto-generated summary of the stories that US political commentators are discussing online right now.
Unlike sister sites Techmeme and Mediagazer, it is not a human-edited news out… [+72 chars]",2025-04-24T23:55:01Z,https://www.memeorandum.com/250424/p138,https://static.politico.com/f7/c6/794b33b94071a865ed7d28a2f3f1/florida-legislature-67829.jpg
Tuberville running for Governor of Alabama in 2026 (Grayson Everett/Yellowhammer News),"Grayson Everett / Yellowhammer News:
Tuberville running for Governor of Alabama in 2026  —  U.S. Senator Tommy Tuberville (R-Auburn) is running for Governor of Alabama in 2026, according to reports confirmed by Yellowhammer News.  —  Back in state while Congr…","memeorandum is an auto-generated summary of the stories that US political commentators are discussing online right now.
Unlike sister sites Techmeme and Mediagazer, it is not a human-edited news out… [+72 chars]",2025-04-24T23:55:01Z,https://www.memeorandum.com/250424/p139,https://yellowhammernews.com/wp-content/uploads/2020/03/Tommy-Tuberville-2.jpg
"Federal Reserve Withdraws Crypto Rules for Banks, Ending 'Choke Point' Practices","The U.S. central bank will now treat crypto like any other banking service, instead of approaching the industry with particular caution.","The Federal Reserve said Thursday evening it will no longer obligate member banks to provide advanced notice of crypto and stablecoin-related ventures, and will instead monitor engagement with digita… [+2750 chars]",2025-04-24T23:54:26Z,https://decrypt.co/316368/federal-reserve-withdraws-crypto-rules-banks-choke-point,https://cdn.decrypt.co/resize/1024/height/512/wp-content/uploads/2020/06/digital-dollar-fed-federal-reserve-bankers-association-aba-gID_1.jpg
"Where Are Trump’s Big, Beautiful Deals?","The President promised a slew of deals—peace in Ukraine and the Middle East, bespoke tariff agreements with China and other nations—but none have materialized. Susan B. Glasser reports on the jittery vibes among the finance types currently gathered in D.C.","This week in Washington, the rare convergence of the spring meetings of the International Monetary Fund and the World Bank and the White House Correspondents dinner has been an event planners nightma… [+9955 chars]",2025-04-24T23:54:12Z,https://www.newyorker.com/news/letter-from-trumps-washington/waiting-for-trumps-big-beautiful-deals,"https://media.newyorker.com/photos/680aae7913ae5858f9070557/16:9/w_1280,c_limit/Glasser-250424.jpg"
Judge allows death penalty as possible punishment for Bryan Kohberger despite autism diagnosis - WLWT,Judge allows death penalty as possible punishment for Bryan Kohberger despite autism diagnosisWLWT Judge rules death penalty to remain as possible punishment amid Bryan Kohberger autism diagnosisFox News Idaho college murders: Judge denies attempt to rule out…,The Fine Print: The following comments are owned by whoever posted them. We are not responsible for them in any way.,2025-04-24T23:52:26Z,https://slashdot.org/firehose.pl?op=view&amp;id=177129351,
"'Waste That S—t': In Interview With Free Beacon, Fetterman Tells Trump To Dump Iran Talks and Destroy Tehran's Nuclear Facilities","Sen. John Fetterman (D., Pa.) says the Trump administration should drop nuclear negotiations with Iran and finish off the country's nuclear facilities with a military strike. ""Waste that s—t,"" the Pennsylvania Democrat told the Washington Free Beacon in an in…","Skip to comments.
'Waste That St': In Interview With Free Beacon, Fetterman Tells Trump To Dump Iran Talks and Destroy Tehran's Nuclear Facilities Washington Free Beacon ^
 | April 23, 2025
 | Jon… [+7037 chars]",2025-04-24T23:52:17Z,https://freerepublic.com/focus/f-news/4313064/posts,
"Dow Jones Today: Stocks Surge for 3rd Straight Day as Investors Digest Earnings, Await News on Tariffs; Chipmakers Lead Tech Rally - Investopedia","Dow Jones Today: Stocks Surge for 3rd Straight Day as Investors Digest Earnings, Await News on Tariffs; Chipmakers Lead Tech RallyInvestopedia Stocks Extend Gains as Investors Weigh Fed Rates and Tariff TalkThe New York Times S&P 500 futures rise after three-…",The Fine Print: The following comments are owned by whoever posted them. We are not responsible for them in any way.,2025-04-24T23:52:16Z,https://slashdot.org/firehose.pl?op=view&amp;id=177129349,
I got my Switch 2 preorder the old-fashioned way: lining up at GameStop - The Verge,"I got my Switch 2 preorder the old-fashioned way: lining up at GameStopThe Verge Nintendo Maintains Nintendo Switch 2 Pricing, Retail Pre-Orders to Begin April 24 in U.S. - News - Nintendo Official SiteNintendo Nintendo Switch 2 pre-order surprise: it's in st…",The Fine Print: The following comments are owned by whoever posted them. We are not responsible for them in any way.,2025-04-24T23:52:05Z,https://slashdot.org/firehose.pl?op=view&amp;id=177129347,
"Yungblud on keeping fans safe, and his 'shirt off era'",The star says he is 'reclaiming sexiness' after poor self-esteem led to an eating disorder.,"Mark Savage
Yungblud says he struggled with poor body-image and eating disorders before taking up boxing two years ago
The Netherlands, March 2025. Yungblud is leaving his hotel in Amsterdam when h… [+7749 chars]",2025-04-24T23:51:55Z,https://www.bbc.com/news/articles/cj3x2z6k3ljo,https://ichef.bbci.co.uk/news/1024/branded_news/50c8/live/57a20c10-20e6-11f0-9b17-b99e39a28c13.jpg
Snoop Dogg Shares Update on Daughter Cori Broadus’s Baby,"Snoop Dogg is grandpoppin’ it like it’s hot.
Nearly two months after the “Gin and Juice” rapper’s daughter Cori Broadus prematurely gave birth to her daughter at 25 weeks, he spoke out on his new...","Snoop Dogg is grandpoppin it like its hot.
Nearly two months after the Gin and Juice rappers daughter Cori Broadus prematurely gave birth to her daughter at 25 weeks, he spoke out on his new family … [+811 chars]",2025-04-24T23:51:44Z,https://www.eonline.com/news/1416636/time100-gala-snoop-dogg-on-daughter-cori-broadus-baby,"https://akns-images.eonline.com/eol_images/Entire_Site/20250424/0a6a2daf-c607-4056-8925-410e9d5f2330_1745538229.jpg?fit=around%7C1080:1080&output-quality=90&crop=1080:1080;center,top"
"Military tattoo in Virginia to hail 250th year of Army, Navy and Marines with pipes, bands and drill","Military tattoo in Virginia to hail 250th year of Army, Navy and Marines with pipes, bands and drillstripes.com",Thom Metz of Virginia Beach playing with other members of the Tidewater Pipes and Drums in February 2024 at Scope in Norfolk. The Virginia Arts Festival was announcing the participating nations for t… [+2340 chars],2025-04-24T23:50:31Z,https://www.stripes.com/living/entertainment/2025-04-23/military-tattoo-army-navy-marines-17557577.html,https://www.stripes.com/incoming/6j7x8m-20250423-amx-enter-military-tattoo-hail-250th-year-1-vp.jpg/alternates/LANDSCAPE_480/20250423-AMX-ENTER-MILITARY-TATTOO-HAIL-250TH-YEAR-1-VP.jpg
Hegseth used Signal app connected to 'dirty line' on personal computer in Pentagon office: Sources (Reuters),"Reuters:
Hegseth used Signal app connected to ‘dirty line’ on personal computer in Pentagon office: Sources  —  It was connected to the internet on an unsecured commercial line, sources said.  —  Secretary of Defense Pete Hegseth attends a meeting of the Erad…","memeorandum is an auto-generated summary of the stories that US political commentators are discussing online right now.
Unlike sister sites Techmeme and Mediagazer, it is not a human-edited news out… [+72 chars]",2025-04-24T23:50:01Z,https://www.memeorandum.com/250424/p137,https://i.abcnewsfe.com/a/b65c32ea-1455-4729-8db3-d00d2b44ec87/pete-hegseth-5-rt-gmh-250422_1745347632298_hpMain_16x9.jpg?w=1600
Read our latest Inside Sports publication for April 24 today,"Apr. 24—MITCHELL — Published weekly online November through May, Inside Sports is a complete look at the South Dakota's prep sports scene, along with a snapshot of the week's top college sports features and analysis. Inside Sports is powered by the sports rep…","MITCHELL Published weekly online November through May, Inside Sports is a complete look at the South Dakota's prep sports scene, along with a snapshot of the week's top college sports features and an… [+337 chars]",2025-04-24T23:49:00Z,https://www.mitchellrepublic.com/sports/read-our-latest-inside-sports-publication-for-april-24-today,https://cdn.forumcomm.com/dims4/default/563b29f/2147483647/strip/true/crop/190x250+0+0/resize/810x1066!/quality/90/?url=https%3A%2F%2Fforum-communications-production-web.s3.us-west-2.amazonaws.com%2Fbrightspot%2Fd1%2F8a%2F18b4c7d34d62a59bc29e92c00f0f%2Finside-sports-april-24-2025.jpg
Meta Oversight Board Fumes As Facebook Ends Censorship Initiatives,Meta’s Oversight Board expressed indignation at the social media giant for its January policy overhaul that axed fact-checking and eased restrictions on discussions about immigration and gender identity. The independent oversight board railed against the comp…,"Skip to comments.
Meta Oversight Board Fumes As Facebook Ends Censorship InitiativesThe Daily Wire ^
 | April 23, 2025
 | Nathan Gay
Posted on 04/24/2025 4:48:15 PM PDT by Twotone
Metas Oversigh… [+4183 chars]",2025-04-24T23:48:15Z,https://freerepublic.com/focus/f-news/4313063/posts,
CEOs can't stop saying these 4 words on earnings calls,"Business Insider tallied up how many times CEOs said ""Trump"" and ""tariffs"" in earnings calls based on data from AlphaSense.","President Donald Trump has been the talk of earnings calls recently.Chip Somodevilla/Getty Images
<ul><li>CEOs mentioned Donald Trump in 88 earnings calls in the past 30 days, up from 5 in the same … [+3301 chars]",2025-04-24T23:47:45Z,https://www.businessinsider.com/ceos-cant-stop-saying-these-words-earnings-calls-2025-4,https://i.insider.com/680ac0643fe8d3928364080f?width=1200&format=jpeg
Op-Ed: Which obscene rotting corpse should dictate the end of the Ukraine war?,"Failure is failure, and these two fossilized insults to humanity should realize that.
The post Op-Ed: Which obscene rotting corpse should dictate the end of the Ukraine war? appeared first on Digital Journal.",US President Donald Trump has lashed out at Ukrainian President Volodymyr Zelensky for refusing to accept Moscow's occupation of the Crimean peninsula as a condition for peace - Copyright AFP Tetiana… [+3112 chars],2025-04-24T23:45:49Z,https://www.digitaljournal.com/world/op-ed-which-obscene-rotting-corpse-should-dictate-the-end-of-the-ukraine-war/article,https://www.digitaljournal.com/wp-content/uploads/2025/04/56c101cc639fc68b4ae93591ce43346da338eae0.jpg
China Denies It Is in Talks Over US Tariffs,"China on Thursday denied any suggestion that it was in active negotiations with the administration of President Trump over tariffs, saying that any notion of progress in the matter was as groundless as ""trying to catch the wind,"" the AP reports. China's comme…","China on Thursday denied any suggestion that it was in active negotiations with the administration of President Trump over tariffs, saying that any notion of progress in the matter was as groundless … [+722 chars]",2025-04-24T23:45:00Z,https://www.newser.com/story/367672/china-denies-it-is-in-talks-over-us-tariffs.html,https://img1-azrcdn.newser.com/image/1606648-12-20250424190218.jpeg
Crystal Palace’s Maxence Lacroix insists he will earn France call-up,Crystal Palace defender Maxence Lacroix (25) is adamant that he will play for the French national team. The centre-back joined the Eagles from Bundesliga side VfL Wolfsburg in a deal worth up to €21...,Crystal Palace defender Maxence Lacroix (25) is adamant that he will play for the French national team. The centre-back joined the Eagles from Bundesliga side VfL Wolfsburg in a deal worth up to 21m … [+1723 chars],2025-04-24T23:45:00Z,https://www.getfootballnewsfrance.com/2025/crystal-palaces-maxence-lacroix-insists-he-will-earn-france-call-up/,https://www.getfootballnewsfrance.com/assets/fulham-v-crystal-palace-emirates-fa-cup-quarter-final-scaled.jpg
"US nuclear force costs projected to soar to $946 billion through 2034, CBO says",,"{ window.open(this.href, '_blank'); }, 200); return false;""&gt;Why is Intel cutting jobs and slashing expenses? { window.open(this.href, '_blank'); }, 200); return false;""&gt;How are Trump tariffs im… [+986 chars]",2025-04-24T23:44:47Z,https://biztoc.com/x/84a60cf77d41998b,https://biztoc.com/cdn/84a60cf77d41998b_s.webp
